destination,destination_lat,destination_lon,source,source_lat,source_lon,num_routes
London Heathrow Airport,51.4706,-0.461941,San Francisco International Airport,37.61899948,-122.375,10
Hong Kong International Airport,22.308901,113.915001,Incheon International Airport,37.46910095,126.4509964,10
Suvarnabhumi Airport,13.68109989,100.7470016,Incheon International Airport,37.46910095,126.4509964,10
Narita International Airport,35.76470184,140.3860016,Incheon International Airport,37.46910095,126.4509964,10
Taiwan Taoyuan International Airport,25.0777,121.233002,Narita International Airport,35.76470184,140.3860016,10
Incheon International Airport,37.46910095,126.4509964,Narita International Airport,35.76470184,140.3860016,10
Sydney Kingsford Smith International Airport,-33.94609833,151.177002,Auckland International Airport,-37.0080986,174.7920074,10
John F Kennedy International Airport,40.63980103,-73.77890015,Malpensa International Airport,45.6306,8.72811,10
Chicago O'Hare International Airport,41.9786,-87.9048,Charles de Gaulle International Airport,49.012798,2.55,10
John F Kennedy International Airport,40.63980103,-73.77890015,Dublin Airport,53.421299,-6.27007,9
Lanzarote Airport,28.945499,-13.6052,London Gatwick Airport,51.148102,-0.190278,9
Chicago O'Hare International Airport,41.9786,-87.9048,London Heathrow Airport,51.4706,-0.461941,9
General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,London Heathrow Airport,51.4706,-0.461941,9
London Gatwick Airport,51.148102,-0.190278,Lanzarote Airport,28.945499,-13.6052,9
OR Tambo International Airport,-26.1392,28.246,Cape Town International Airport,-33.96480179,18.60169983,9
Cape Town International Airport,-33.96480179,18.60169983,OR Tambo International Airport,-26.1392,28.246,9
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Cancún International Airport,21.03650093,-86.87709808,9
London Heathrow Airport,51.4706,-0.461941,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,9
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Indianapolis International Airport,39.7173,-86.294403,9
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Raleigh Durham International Airport,35.87760162,-78.78749847,9
Cancún International Airport,21.03650093,-86.87709808,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,9
Washington Dulles International Airport,38.94449997,-77.45580292,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,9
George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,9
Indianapolis International Airport,39.7173,-86.294403,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,9
Jacksonville International Airport,30.49410057,-81.68789673,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,9
Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,9
Philadelphia International Airport,39.87189865,-75.2410965,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,9
Phoenix Sky Harbor International Airport,33.43429947,-112.012001,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,9
Raleigh Durham International Airport,35.87760162,-78.78749847,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,9
San Francisco International Airport,37.61899948,-122.375,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,9
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Jacksonville International Airport,30.49410057,-81.68789673,9
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Washington Dulles International Airport,38.94449997,-77.45580292,9
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Philadelphia International Airport,39.87189865,-75.2410965,9
Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,John F Kennedy International Airport,40.63980103,-73.77890015,9
Dublin Airport,53.421299,-6.27007,John F Kennedy International Airport,40.63980103,-73.77890015,9
Barcelona International Airport,41.2971,2.07846,John F Kennedy International Airport,40.63980103,-73.77890015,9
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,George Bush Intercontinental Houston Airport,29.9843998,-95.34140015,9
Frankfurt am Main Airport,50.033333,8.570556,Dallas Fort Worth International Airport,32.896801,-97.038002,9
London Heathrow Airport,51.4706,-0.461941,Chicago O'Hare International Airport,41.9786,-87.9048,9
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,9
Los Angeles International Airport,33.94250107,-118.4079971,Louis Armstrong New Orleans International Airport,29.99340057,-90.25800323,9
Kuala Lumpur International Airport,2.745579958,101.7099991,Suvarnabhumi Airport,13.68109989,100.7470016,9
Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,Phoenix Sky Harbor International Airport,33.43429947,-112.012001,9
Ürümqi Diwopu International Airport,43.90710068,87.47419739,Zhengzhou Xinzheng International Airport,34.5196991,113.8410034,9
