source_country,destination_country,source_airport,source_lat,source_lon,destination_lat,destination_lon,destination_airport,num_direct_flights,num_connecting_flights
Indonesia,Malaysia,Soekarno-Hatta International Airport,-6.12556982,106.6559982,2.745579958,101.7099991,Kuala Lumpur International Airport,10,0
Malaysia,Indonesia,Kuala Lumpur International Airport,2.745579958,101.7099991,-6.12556982,106.6559982,Soekarno-Hatta International Airport,10,0
Thailand,South Korea,Suvarnabhumi Airport,13.68109989,100.7470016,37.46910095,126.4509964,Incheon International Airport,10,0
South Korea,Thailand,Incheon International Airport,37.46910095,126.4509964,13.68109989,100.7470016,Suvarnabhumi Airport,10,0
South Korea,Japan,Incheon International Airport,37.46910095,126.4509964,35.76470184,140.3860016,Narita International Airport,10,0
Japan,South Korea,Narita International Airport,35.76470184,140.3860016,37.46910095,126.4509964,Incheon International Airport,10,0
China,China,Xishuangbanna Gasa Airport,21.97389984,100.7600021,25.1019444,102.9291667,Kunming Changshui International Airport,10,0
China,China,Kunming Changshui International Airport,25.1019444,102.9291667,21.97389984,100.7600021,Xishuangbanna Gasa Airport,10,0
Bahrain,Qatar,Bahrain International Airport,26.27079964,50.63359833,25.273056,51.608056,Hamad International Airport,10,0
Thailand,Thailand,Suvarnabhumi Airport,13.68109989,100.7470016,18.76679993,98.96260071,Chiang Mai International Airport,10,0
Thailand,Thailand,Suvarnabhumi Airport,13.68109989,100.7470016,8.1132,98.316902,Phuket International Airport,10,0
China,China,Zhoushuizi Airport,38.96569824,121.5390015,30.22949982,120.4339981,Hangzhou Xiaoshan International Airport,10,0
China,China,Chongqing Jiangbei International Airport,29.71920013,106.6419983,34.447102,108.751999,Xi'an Xianyang International Airport,10,0
China,China,Xi'an Xianyang International Airport,34.447102,108.751999,29.71920013,106.6419983,Chongqing Jiangbei International Airport,10,0
China,China,Zhengzhou Xinzheng International Airport,34.5196991,113.8410034,30.22949982,120.4339981,Hangzhou Xiaoshan International Airport,10,0
China,China,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,34.5196991,113.8410034,Zhengzhou Xinzheng International Airport,10,0
China,China,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,38.96569824,121.5390015,Zhoushuizi Airport,10,0
France,United States,Charles de Gaulle International Airport,49.012798,2.55,41.9786,-87.9048,Chicago O'Hare International Airport,10,0
United States,France,Chicago O'Hare International Airport,41.9786,-87.9048,49.012798,2.55,Charles de Gaulle International Airport,10,0
United States,United States,McCarran International Airport,36.08010101,-115.1520004,33.94250107,-118.4079971,Los Angeles International Airport,9,0
United States,United States,Los Angeles International Airport,33.94250107,-118.4079971,36.08010101,-115.1520004,McCarran International Airport,9,0
China,China,Chengdu Shuangliu International Airport,30.57850075,103.9469986,25.1019444,102.9291667,Kunming Changshui International Airport,9,0
China,China,Kunming Changshui International Airport,25.1019444,102.9291667,30.57850075,103.9469986,Chengdu Shuangliu International Airport,9,0
United States,Spain,John F Kennedy International Airport,40.63980103,-73.77890015,40.471926,-3.56264,Adolfo Suárez Madrid–Barajas Airport,9,0
United States,Japan,Los Angeles International Airport,33.94250107,-118.4079971,35.76470184,140.3860016,Narita International Airport,9,0
United Kingdom,United States,London Heathrow Airport,51.4706,-0.461941,41.9786,-87.9048,Chicago O'Hare International Airport,9,0
Spain,United States,Adolfo Suárez Madrid–Barajas Airport,40.471926,-3.56264,40.63980103,-73.77890015,John F Kennedy International Airport,9,0
United States,United Kingdom,Chicago O'Hare International Airport,41.9786,-87.9048,51.4706,-0.461941,London Heathrow Airport,9,0
United States,United Kingdom,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,51.4706,-0.461941,London Heathrow Airport,9,0
United Kingdom,United States,London Heathrow Airport,51.4706,-0.461941,42.36429977,-71.00520325,General Edward Lawrence Logan International Airport,9,0
China,China,Ürümqi Diwopu International Airport,43.90710068,87.47419739,34.447102,108.751999,Xi'an Xianyang International Airport,9,0
China,China,Xi'an Xianyang International Airport,34.447102,108.751999,43.90710068,87.47419739,Ürümqi Diwopu International Airport,9,0
Singapore,Thailand,Singapore Changi Airport,1.35019,103.994003,13.68109989,100.7470016,Suvarnabhumi Airport,9,0
China,China,Zhengzhou Xinzheng International Airport,34.5196991,113.8410034,43.90710068,87.47419739,Ürümqi Diwopu International Airport,9,0
China,China,Chongqing Jiangbei International Airport,29.71920013,106.6419983,25.1019444,102.9291667,Kunming Changshui International Airport,9,0
China,China,Hangzhou Xiaoshan International Airport,30.22949982,120.4339981,36.26610184,120.3740005,Liuting Airport,9,0
China,China,Kashgar Airport,39.54290009,76.01999664,43.90710068,87.47419739,Ürümqi Diwopu International Airport,9,0
China,China,Kunming Changshui International Airport,25.1019444,102.9291667,29.71920013,106.6419983,Chongqing Jiangbei International Airport,9,0
China,China,Lanzhou Zhongchuan Airport,36.51520157,103.6200027,43.90710068,87.47419739,Ürümqi Diwopu International Airport,9,0
China,China,Liuting Airport,36.26610184,120.3740005,30.22949982,120.4339981,Hangzhou Xiaoshan International Airport,9,0
China,China,Ürümqi Diwopu International Airport,43.90710068,87.47419739,34.5196991,113.8410034,Zhengzhou Xinzheng International Airport,9,0
China,China,Ürümqi Diwopu International Airport,43.90710068,87.47419739,39.54290009,76.01999664,Kashgar Airport,9,0
United States,Mexico,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,21.03650093,-86.87709808,Cancún International Airport,9,0
United States,United States,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,38.94449997,-77.45580292,Washington Dulles International Airport,9,0
