airport_id,airport_name,airport_country,num_outbound_flights,num_inbound_flights,num_connecting_flights
344,Cologne Bonn Airport,Germany,134,131,0
3385,Fuzhou Changle International Airport,China,133,133,0
469,Birmingham International Airport,United Kingdom,133,131,0
4059,Jomo Kenyatta International Airport,Kenya,130,128,0
3400,Taiping Airport,China,129,130,0
1688,Antalya International Airport,Turkey,127,126,0
1074,Mohammed V International Airport,Morocco,125,125,0
3861,Louis Armstrong New Orleans International Airport,United States,123,125,0
1551,Venice Marco Polo Airport,Italy,122,123,0
679,Warsaw Chopin Airport,Poland,120,120,0
2176,Kuwait International Airport,Kuwait,120,119,0
3731,San Diego International Airport,United States,119,119,0
535,Edinburgh Airport,United Kingdom,119,118,0
3728,Daniel K Inouye International Airport,United States,118,115,0
1055,Lanzarote Airport,Spain,116,117,0
1509,Catania-Fontanarossa Airport,Italy,115,118,0
2789,Jorge Chávez International Airport,Peru,115,115,0
178,Calgary International Airport,Canada,115,113,0
3373,Nanning Wuxu Airport,China,114,114,0
3678,St Louis Lambert International Airport,United States,114,107,0
3720,Portland International Airport,United States,113,117,0
1606,Malta International Airport,Malta,113,113,0
1657,Henri Coandă International Airport,Romania,112,115,0
2170,Queen Alia International Airport,Jordan,111,112,0
3369,Taiyuan Wusu Airport,China,110,110,0
1452,Heraklion International Nikos Kazantzakis Airport,Greece,110,109,0
3205,Tan Son Nhat International Airport,Vietnam,109,109,0
4030,Sanya Phoenix International Airport,China,109,109,0
4120,Haikou Meilan International Airport,China,108,107,0
492,London Luton Airport,United Kingdom,108,106,0
3372,Guilin Liangjiang International Airport,China,107,107,0
3144,Chennai International Airport,India,107,104,0
1871,Tocumen International Airport,Panama,106,106,0
1626,Faro Airport,Portugal,106,105,0
1107,Addis Ababa Bole International Airport,Ethiopia,105,109,0
2194,Muscat International Airport,Oman,104,104,0
2890,Luis Munoz Marin International Airport,Puerto Rico,102,102,0
2939,Boryspil International Airport,Ukraine,102,100,0
3024,Bandaranaike International Colombo Airport,Sri Lanka,101,102,0
3953,Riga International Airport,Latvia,101,101,0
1636,Francisco de Sá Carneiro Airport,Portugal,100,102,0
3940,Ngurah Rai (Bali) International Airport,Indonesia,100,101,0
490,Bristol Airport,United Kingdom,100,100,0
534,Glasgow International Airport,United Kingdom,100,96,0
1225,Ibiza Airport,Spain,99,103,0
2975,Koltsovo Airport,Russia,98,101,0
2531,Presidente Juscelino Kubistschek International Airport,Brazil,98,99,0
1489,Budapest Liszt Ferenc International Airport,Hungary,98,97,0
2560,Rio Galeão – Tom Jobim International Airport,Brazil,98,96,0
2191,Sharjah International Airport,United Arab Emirates,97,98,0
3131,Kempegowda International Airport,India,97,98,0
3043,Netaji Subhash Chandra Bose International Airport,India,97,97,0
1051,Fuerteventura Airport,Spain,97,95,0
2006,Auckland International Airport,New Zealand,96,117,0
523,East Midlands Airport,United Kingdom,95,97,0
1423,EuroAirport Basel-Mulhouse-Freiburg Airport,France,95,94,0
1197,Larnaca International Airport,Cyprus,93,97,0
1804,Don Miguel Hidalgo Y Costilla International Airport,Mexico,93,92,0
1418,Nantes Atlantique Airport,France,92,91,0
3351,Perth International Airport,Australia,92,90,0
2851,Simón Bolívar International Airport,Venezuela,90,91,0
1538,Bologna Guglielmo Marconi Airport,Italy,88,88,0
210,Houari Boumediene Airport,Algeria,88,88,0
4078,Tolmachevo Airport,Russia,87,90,0
287,Tunis Carthage International Airport,Tunisia,87,88,0
1486,Thessaloniki Macedonia International Airport,Greece,87,87,0
3199,Noi Bai International Airport,Vietnam,87,87,0
6345,Baita International Airport,China,87,87,0
