source_country,destination_country,source_airport,destination_airport,source_lat,source_lon,destination_lat,destination_lon,airline_name,airline_iata,num_direct_flights,num_connecting_flights,distance_km
Hong Kong,South Africa,Hong Kong International Airport,OR Tambo International Airport,22.308901,113.915001,-26.1392,28.246,South African Airways,SA,1,0,10674.61855
South Africa,Hong Kong,OR Tambo International Airport,Hong Kong International Airport,-26.1392,28.246,22.308901,113.915001,South African Airways,SA,1,0,10674.61855
United States,Japan,George Bush Intercontinental Houston Airport,Narita International Airport,29.9843998,-95.34140015,35.76470184,140.3860016,United Airlines,UA,1,0,10669.34797
Japan,United States,Narita International Airport,George Bush Intercontinental Houston Airport,35.76470184,140.3860016,29.9843998,-95.34140015,United Airlines,UA,1,0,10669.34797
United States,Japan,George Bush Intercontinental Houston Airport,Narita International Airport,29.9843998,-95.34140015,35.76470184,140.3860016,All Nippon Airways,NH,1,0,10669.34797
Japan,United States,Narita International Airport,George Bush Intercontinental Houston Airport,35.76470184,140.3860016,29.9843998,-95.34140015,All Nippon Airways,NH,1,0,10669.34797
United States,South Korea,Detroit Metropolitan Wayne County Airport,Incheon International Airport,42.21239853,-83.35340118,37.46910095,126.4509964,Delta Air Lines,DL,1,0,10654.44267
South Korea,United States,Incheon International Airport,Detroit Metropolitan Wayne County Airport,37.46910095,126.4509964,42.21239853,-83.35340118,Delta Air Lines,DL,1,0,10654.44267
United States,China,Detroit Metropolitan Wayne County Airport,Beijing Capital International Airport,42.21239853,-83.35340118,40.08010101,116.5849991,Delta Air Lines,DL,1,0,10646.65188
China,United States,Beijing Capital International Airport,Detroit Metropolitan Wayne County Airport,40.08010101,116.5849991,42.21239853,-83.35340118,Delta Air Lines,DL,1,0,10646.65188
United States,China,Detroit Metropolitan Wayne County Airport,Beijing Capital International Airport,42.21239853,-83.35340118,40.08010101,116.5849991,China Southern Airlines,CZ,1,0,10646.65188
China,United States,Beijing Capital International Airport,Detroit Metropolitan Wayne County Airport,40.08010101,116.5849991,42.21239853,-83.35340118,China Southern Airlines,CZ,1,0,10646.65188
United States,China,Detroit Metropolitan Wayne County Airport,Beijing Capital International Airport,42.21239853,-83.35340118,40.08010101,116.5849991,China Eastern Airlines,MU,1,0,10646.65188
China,United States,Beijing Capital International Airport,Detroit Metropolitan Wayne County Airport,40.08010101,116.5849991,42.21239853,-83.35340118,China Eastern Airlines,MU,1,0,10646.65188
China,Mexico,Shanghai Pudong International Airport,General Abelardo L. Rodríguez International Airport,31.14340019,121.8050003,32.54109955,-116.9700012,AeroMéxico,AM,1,0,10619.05002
Mexico,China,General Abelardo L. Rodríguez International Airport,Shanghai Pudong International Airport,32.54109955,-116.9700012,31.14340019,121.8050003,AeroMéxico,AM,1,0,10619.05002
South Korea,Canada,Incheon International Airport,Lester B. Pearson International Airport,37.46910095,126.4509964,43.67720032,-79.63059998,Korean Air,KE,1,0,10616.63659
Canada,South Korea,Lester B. Pearson International Airport,Incheon International Airport,43.67720032,-79.63059998,37.46910095,126.4509964,Korean Air,KE,1,0,10616.63659
Malaysia,United Kingdom,Kuala Lumpur International Airport,London Heathrow Airport,2.745579958,101.7099991,51.4706,-0.461941,American Airlines,AA,1,0,10605.48677
United Kingdom,Malaysia,London Heathrow Airport,Kuala Lumpur International Airport,51.4706,-0.461941,2.745579958,101.7099991,American Airlines,AA,1,0,10605.48677
Malaysia,United Kingdom,Kuala Lumpur International Airport,London Heathrow Airport,2.745579958,101.7099991,51.4706,-0.461941,Malaysia Airlines,MH,1,0,10605.48677
United Kingdom,Malaysia,London Heathrow Airport,Kuala Lumpur International Airport,51.4706,-0.461941,2.745579958,101.7099991,Malaysia Airlines,MH,1,0,10605.48677
United States,Saudi Arabia,Washington Dulles International Airport,King Abdulaziz International Airport,38.94449997,-77.45580292,21.6796,39.156502,Saudi Arabian Airlines,SV,1,0,10591.62263
Saudi Arabia,United States,King Abdulaziz International Airport,Washington Dulles International Airport,21.6796,39.156502,38.94449997,-77.45580292,Saudi Arabian Airlines,SV,1,0,10591.62263
United States,China,Chicago O'Hare International Airport,Beijing Capital International Airport,41.9786,-87.9048,40.08010101,116.5849991,Hainan Airlines,HU,1,0,10562.43248
China,United States,Beijing Capital International Airport,Chicago O'Hare International Airport,40.08010101,116.5849991,41.9786,-87.9048,Hainan Airlines,HU,1,0,10562.43248
United States,China,Chicago O'Hare International Airport,Beijing Capital International Airport,41.9786,-87.9048,40.08010101,116.5849991,American Airlines,AA,1,0,10562.43248
China,United States,Beijing Capital International Airport,Chicago O'Hare International Airport,40.08010101,116.5849991,41.9786,-87.9048,American Airlines,AA,1,0,10562.43248
United States,China,Chicago O'Hare International Airport,Beijing Capital International Airport,41.9786,-87.9048,40.08010101,116.5849991,United Airlines,UA,1,0,10562.43248
China,United States,Beijing Capital International Airport,Chicago O'Hare International Airport,40.08010101,116.5849991,41.9786,-87.9048,United Airlines,UA,1,0,10562.43248
United States,China,Chicago O'Hare International Airport,Beijing Capital International Airport,41.9786,-87.9048,40.08010101,116.5849991,US Airways,US,1,0,10562.43248
China,United States,Beijing Capital International Airport,Chicago O'Hare International Airport,40.08010101,116.5849991,41.9786,-87.9048,US Airways,US,1,0,10562.43248
United States,China,Chicago O'Hare International Airport,Beijing Capital International Airport,41.9786,-87.9048,40.08010101,116.5849991,Air China,CA,1,0,10562.43248
China,United States,Beijing Capital International Airport,Chicago O'Hare International Airport,40.08010101,116.5849991,41.9786,-87.9048,Air China,CA,1,0,10562.43248
China,Canada,Beijing Capital International Airport,Lester B. Pearson International Airport,40.08010101,116.5849991,43.67720032,-79.63059998,Hainan Airlines,HU,1,0,10560.76503
Canada,China,Lester B. Pearson International Airport,Beijing Capital International Airport,43.67720032,-79.63059998,40.08010101,116.5849991,Hainan Airlines,HU,1,0,10560.76503
China,Canada,Beijing Capital International Airport,Lester B. Pearson International Airport,40.08010101,116.5849991,43.67720032,-79.63059998,Air Canada,AC,1,0,10560.76503
Canada,China,Lester B. Pearson International Airport,Beijing Capital International Airport,43.67720032,-79.63059998,40.08010101,116.5849991,Air Canada,AC,1,0,10560.76503
China,Canada,Beijing Capital International Airport,Lester B. Pearson International Airport,40.08010101,116.5849991,43.67720032,-79.63059998,Air China,CA,1,0,10560.76503
Canada,China,Lester B. Pearson International Airport,Beijing Capital International Airport,43.67720032,-79.63059998,40.08010101,116.5849991,Air China,CA,1,0,10560.76503
United States,Kuwait,Washington Dulles International Airport,Kuwait International Airport,38.94449997,-77.45580292,29.22660065,47.96889877,United Airlines,UA,1,0,10559.41686
Kuwait,United States,Kuwait International Airport,Washington Dulles International Airport,29.22660065,47.96889877,38.94449997,-77.45580292,United Airlines,UA,1,0,10559.41686
